YR_MTH,LOCATION,gov_UTL_RATE
202009,Yau Ma Tei,55.32467532467529
202010,Aberdeen,76.4505119453925
202010,City Hall,31.1764705882353
202010,Kennedy Town,78.4615384615385
202010,Kwai Fong,72.50470809792841
202010,Rumsey Street,36.407185628742496
202010,Shau Kei Wan,78.961038961039
202010,Sheung Fung Street,78.6516853932584
202010,Star Ferry,42.970822281167095
202010,Tin Hau,67.2897196261682
202010,Tsuen Wan,83.8532110091743
202010,Yau Ma Tei,51.038961038961
202011,Aberdeen,78.49829351535841
202011,City Hall,32.941176470588196
202011,Kennedy Town,77.948717948718
202011,Kwai Fong,71.3747645951036
202011,Rumsey Street,37.9640718562874
202011,Shau Kei Wan,79.4805194805195
202011,Sheung Fung Street,79.0262172284644
202011,Star Ferry,44.8275862068966
202011,Tin Hau,69.1588785046729
202011,Tsuen Wan,82.38532110091741
202011,Yau Ma Tei,74.5454545454545
202012,Aberdeen,76.4505119453925
202012,City Hall,26.470588235294105
202012,Kennedy Town,80.5128205128205
202012,Kwai Fong,73.0696798493409
202012,Rumsey Street,37.6047904191617
202012,Shau Kei Wan,80.77922077922081
202012,Sheung Fung Street,77.5280898876404
202012,Star Ferry,40.053050397877996
202012,Tin Hau,68.9252336448598
202012,Tsuen Wan,83.11926605504591
202012,Yau Ma Tei,60.571428571428605
