"YR_MTH","REGION","NO_METER_PS","UTL_RATE"
"201905","HK",2669,39.8980011529319
"201906","NT",8550,40.3070968070493
"201906","HK",2665,37.2612225405922
"201906","KLN",6606,42.7202546021722
"201907","NT",8570,37.3525612972068
"201907","HK",2665,34.6694155634695
"201907","KLN",6616,38.8354624898412
"201908","KLN",6616,34.3964287473492
"201908","HK",2677,32.0206605898834
"201908","NT",8569,33.8976794787479
"201909","KLN",6652,32.6426319605293
"201909","NT",8567,32.2331782163607
"201909","HK",2677,32.0342162357621
"201910","KLN",6653,26.7691573136593
"201910","NT",8546,26.9760487112368
"201910","HK",2680,28.3308663508929
"201911","HK",2689,26.2135417341295
"201911","NT",8540,22.831004443325
"201911","KLN",6653,21.9079394226986
"201912","NT",8562,23.6505800880776
"201912","KLN",6663,23.9495761075962
"201912","HK",2724,26.264125190452
"202001","KLN",6661,23.4459615364155
"202001","NT",8562,22.8873875279417
"202001","HK",2729,25.7672360975672
"202002","NT",8560,22.272729246928
"202002","KLN",6662,20.362582274343
"202002","HK",2729,25.4799868896092
"202003","HK",2729,31.4200376913651
"202003","NT",8558,29.0033455151914
"202003","KLN",6656,25.8753552813207
"202004","HK",2729,35.5703638831502
"202004","KLN",6663,28.8701972875551
"202004","NT",8557,31.8280014660816
"202005","KLN",6665,30.7863086961729
"202005","NT",8546,32.7605426604557
"202005","HK",2733,36.4006118361343
"202006","NT",8564,31.3876436024407
"202006","HK",2727,33.773773290175
"202006","KLN",6664,30.7921433574597
"202007","HK",2715,34.3858250808011
"202007","NT",8563,31.0991306563594
"202007","KLN",6666,30.7979986660778
"202008","NT",8563,30.1512527891794
"202008","HK",2722,32.6783557612488
"202008","KLN",6667,29.7602140015194
"202009","HK",2722,34.0120285377298
"202009","KLN",6667,30.6325141261437
"202009","NT",8563,31.078170333666
"202010","KLN",6668,31.4358551187048
"202010","HK",2721,36.0554343448438
"202010","NT",8563,33.1554178412506
"202011","HK",2721,39.6513919953008
"202011","KLN",6669,34.5647981726953
"202011","NT",8466,35.4922878640827
"202012","KLN",6668,34.5659794116498
"202012","HK",2721,40.2243271720436
"202012","NT",8491,35.6016030260216
